seller_id,recency_max,recency_min,frequency,monetary_value,review_score,cluster_id,cluster_name
0015a82c2db000af6aaaf3ae2ecb0532,315,336,3,916.02,3.6666666666666665,0,Opportunities
001cca7ae9ae17fb1caed9dfb1094831,47,570,195,170.4044615384617,4.0256410256410255,2,Cows
002100f778ceb8431b7a1020ff7ab48f,139,349,50,43.392800000000015,3.96,1,Dogs
003554e2dce176b5555353e4f3555ac8,257,257,1,139.38,5.0,1,Dogs
004c9cd9d87a3c30c522c48c4fc07416,118,579,155,148.64793548387087,4.138709677419355,2,Cows
00720abe85ba0859807595bbf045a33b,25,214,13,105.57153846153845,3.6153846153846154,2,Cows
00ab3eff1b5192e5f1a63bcecfee11c8,529,529,1,110.08,5.0,1,Dogs
00d8b143d12632bad99c0ad66ad52825,161,161,1,137.1,5.0,1,Dogs
00ee68308b45bc5e2660cd833c3f81cc,19,344,135,178.45696296296288,4.303703703703704,2,Cows
00fc707aaaad2d31347cf883cd2dfe10,76,209,103,149.8534951456311,4.033980582524272,2,Cows
010543a62bd80aa422851e79a3bc7540,392,420,2,723.975,4.5,0,Opportunities
010da0602d7774602cd1b3f5fb7b709e,83,83,1,1079.75,1.0,0,Opportunities
011b0eaba87386a2ae96a7d32bb531d1,692,692,1,129.16,4.0,1,Dogs
01266d4c46afa519678d16a8b683d325,8,26,3,45.82666666666666,5.0,1,Dogs
013900e863eace745d3ec7614cab5b1a,137,543,23,91.14565217391304,4.695652173913044,1,Dogs
014c0679dd340a0e338872e7ec85666a,55,580,14,549.0221428571429,3.857142857142857,0,Opportunities
014d9a685fd57276679edd00e07089e5,12,281,11,110.3409090909091,3.727272727272727,2,Cows
0176f73cc1195f367f7b32db1e5b3aa8,15,285,37,168.35837837837835,4.108108108108108,2,Cows
01bcc9d254a0143f0ce9791b960b2a47,208,381,10,164.469,4.4,0,Opportunities
01c97ebb5cdac52891c0ed1c37ba0012,28,502,9,84.0,4.222222222222222,2,Cows
01cf7e3d21494c41fb86034f2e714fa1,184,691,59,193.28830508474573,4.135593220338983,2,Cows
01ed254b9ff8407dfb9d99ba1e17d923,293,390,5,306.742,5.0,0,Opportunities
01fd077212124329bac32490e8ef80d9,4,135,31,63.99806451612902,4.161290322580645,2,Cows
01fdefa7697d26ad920e9e0346d4bd1b,8,489,128,137.32687499999997,4.3828125,2,Cows
0241d4d5d36f10f80c644447315af0bd,0,324,238,169.35222689075647,4.3466386554621845,2,Cows
0249d282d911d23cb8b869ab49c99f53,159,344,11,51.8209090909091,4.2727272727272725,1,Dogs
024b564ae893ce8e9bfa02c10a401ece,562,693,2,459.20000000000005,4.5,0,Opportunities
028872bfa080090a9d0abd4f1af168f8,375,375,1,117.87,5.0,1,Dogs
02b72cdeb9cfcc429f1af6f4e3f3b737,6,34,4,187.16,4.75,2,Cows
02c988090b766852e088c69d7fb3b551,14,403,12,147.57833333333332,4.583333333333333,2,Cows
02d35243ea2e497335cd0f076b45675d,26,486,14,515.4435714285713,2.642857142857143,0,Opportunities
02dcd3e8e25bee036e32512bcf175493,6,188,13,124.88384615384615,4.076923076923077,2,Cows
02ecc2a19303f05e59ce133fd923fff7,7,436,21,278.6819047619048,4.619047619047619,2,Cows
02f5837340d7eb4f653d676c7256523a,21,300,30,148.796,4.833333333333333,2,Cows
02f623a8eb246f3c5f7c2f96462654e6,6,125,44,163.80977272727273,4.568181818181818,2,Cows
0307f7565ff85b299b6e5ef162b1b1a9,461,687,6,828.1483333333334,3.5,0,Opportunities
0336182e1b3e92f029d5354832045fdf,692,692,1,162.39,2.0,1,Dogs
034b9387752bfa309f350a70cd45ffa3,6,139,8,30.0325,4.5,2,Cows
038b75b729c8a9a04b0d07cba7eabe86,128,131,2,278.92499999999995,3.5,0,Opportunities
039b29ff3b3473435d0cd59040575de9,6,125,9,23.949999999999996,4.444444444444445,2,Cows
039e6ad9dae79614493083e241147386,49,148,5,2654.684,4.0,0,Opportunities
03a2a6dcbe45d639c4dc2a0d24769c40,13,169,9,138.96222222222224,4.111111111111111,2,Cows
03bd479e1d9484cdb14104d3023f7321,35,111,3,198.8033333333333,4.333333333333333,0,Opportunities
0417b067eeab773d2f7061a726dc477f,9,180,13,192.44230769230768,3.923076923076923,2,Cows
042573af89b6d931f672efaf789d8358,199,219,3,159.52333333333334,3.6666666666666665,0,Opportunities
04308b1ee57b6625f47df1d56f00eedf,17,287,92,673.2676086956518,3.9456521739130435,2,Cows
0432ead42b6c8a0bdf68154add917fdf,32,513,82,111.48097560975609,4.536585365853658,2,Cows
044668ccd5316b12a7cf0d54a156e3e9,8,20,3,63.78333333333333,5.0,2,Cows
04843805947f0fc584fc1969b6e50fe7,24,24,1,1474.76,5.0,0,Opportunities
048c2757535328e0d7dac690ad3c0aae,7,542,50,206.2482,4.18,2,Cows
04aa0a1c5ce6b222003403a3e11c3cc0,217,524,11,576.3190909090908,4.090909090909091,0,Opportunities
04aba03279157f6d4e0fe8ccaf21963c,3,476,15,182.34866666666665,4.533333333333333,2,Cows
04e38a233f726ef161074ab1c9b0399a,115,348,19,70.90894736842105,4.105263157894737,1,Dogs
04ee0ec01589969663ba5967c0e0bdc0,8,8,1,314.32,5.0,0,Opportunities
04fdea0c111866e6cf812f1570d6b5bd,210,319,8,129.79375000000002,3.5,1,Dogs
0509040ea3fe50071181bbc359eb7738,27,483,87,58.61206896551726,4.482758620689655,2,Cows
052577151711aec5c744fe12e66db3e1,306,306,1,729.65,5.0,0,Opportunities
054694fa03fe82cec4b7551487331d74,141,598,20,449.2215,3.4,0,Opportunities
056b4ada5bbc2c50cc7842547dda6b51,6,271,64,210.71546875000004,4.15625,2,Cows
0570350b23eda5444f8d1d9544932058,98,138,6,125.29333333333334,5.0,1,Dogs
05730013efda596306417c3b09302475,6,53,4,292.1675,5.0,2,Cows
058cb5aeb36d7c0fcae20fc85d5e0a59,14,337,11,180.3472727272727,3.8181818181818183,2,Cows
058fd0aa2bfdb2274e05e1ae971dabb6,82,391,60,141.5571666666667,4.383333333333334,2,Cows
05a48cc8859962767935ab9087417fbb,27,27,1,59.39,5.0,1,Dogs
05a940b4ecae36cadfd8e93bd9c43257,190,408,9,96.01111111111109,4.222222222222222,1,Dogs
05aebce0b5c8f0d41b29b686f2d05fd3,18,176,2,60.44,5.0,1,Dogs
05ca864204d09595ae591b93ea9cf93d,13,13,1,188.42,5.0,0,Opportunities
05d2173d43ea568aa0540eba70d2ca76,16,336,62,119.98274193548387,4.080645161290323,2,Cows
